index,name,total_cases,new_cases,total_death,new_death,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,death_1m_pop,total_tests,tests_1m_pop,population
107,Cameroon,28010,,455,,26861,694,46,1041,17,149000,5537,26912236
108,Ivory Coast,26315,,143,,24356,1816,,984,5,311656,11655,26740475
109,Sudan,26279,,1603,,15688,8988,,592,36,,,44417532
110,Senegal,24459,250,569,8,20284,3606,47,1440,33,310971,18305,16988317
111,DRC,21713,116,654,7,14903,6156,,238,7,,,91065119
112,Cuba,20060,,188,,15311,4561,45,1772,17,1738190,153513,11322718
113,Botswana,19654,,105,,15911,3638,1,8265,44,613944,258172,2378041
114,Angola,19269,,452,,17223,1594,21,576,14,174111,5208,33430593
115,Madagascar,18301,,273,,17609,419,16,652,10,105342,3751,28085489
116,French Polynesia,17852,,128,,4842,12882,11,63345,454,26355,93517,281820
117,Malawi,17365,,445,,6408,10512,4,895,23,121620,6268,19403845
118,Malta,16542,119,250,2,13646,2646,18,37408,565,586434,1326159,442205
119,Mauritania,16322,,413,,15047,862,29,3460,88,138650,29391,4717354
120,French Guiana,15560,,76,,9995,5489,12,51358,251,126618,417921,302971
121,Maldives,14830,,50,,13731,1049,54,27169,92,379612,695451,545850
122,Jamaica,14658,,332,,11833,2493,12,4938,112,156367,52677,2968432
123,Guinea,14300,38,81,,13632,587,24,1073,6,118565,8895,13329987
124,Eswatini,14219,,458,,8962,4799,67,12185,392,122897,105320,1166891
125,Syria,13479,,873,,6918,5688,,760,49,,,17736473
126,Cabo Verde,13381,,122,,12590,669,23,23922,218,111390,199135,559368
127,Tajikistan,13308,,90,,13218,0,,1378,9,,,9656625
128,Thailand,13302,198,72,1,10448,2782,1,190,1,1217873,17423,69898541
129,Rwanda,12443,,165,,8184,4094,,948,13,817800,62284,13130248
130,Belize,11700,,290,,11009,401,2,29130,722,66923,166621,401649
131,Haiti,11035,,243,,8979,1813,,961,21,45894,3998,11480276
132,Gabon,10278,,67,,9902,309,10,4558,30,422091,187190,2254879
133,Hong Kong,10010,81,168,,8997,845,38,1329,22,6442498,855453,7531091
134,Burkina Faso,9857,,107,,7883,1867,,465,5,,,21220502
135,R?union,9701,,45,,9261,395,8,10792,50,98785,109896,898897
136,Andorra,9416,,93,,8537,786,15,121756,1203,180088,2328674,77335
137,Guadeloupe,8980,,154,,2242,6584,3,22441,385,112838,281980,400163
138,Bahamas,8101,,175,,6720,1206,12,20491,443,57484,145401,395349
139,Suriname,7945,,148,,7112,685,15,13476,251,34079,57802,589578
140,Mali,7937,,321,,5683,1933,,386,16,138180,6716,20573330
141,Congo,7794,,117,,5846,1831,,1393,21,73120,13073,5593408
142,Lesotho,7555,,113,,1993,5449,,3511,53,45531,21160,2151774
143,Trinidad and Tobago,7456,,133,,6991,332,2,5318,95,80170,57181,1402037
144,Mayotte,7250,,58,,2964,4228,4,26224,210,50331,182051,276467
145,Guyana,7143,,170,,6328,645,7,9057,216,45865,58154,788685
146,Aruba,6656,,56,,6098,502,11,62193,523,79145,739528,107021
147,Martinique,6327,,44,,98,6185,2,16867,117,82508,219962,375101
148,Nicaragua,6204,,168,,4225,1811,,930,25,,,6668646
149,Iceland,5981,,29,,5868,84,,17463,85,465570,1359384,342486
150,Djibouti,5917,,61,,5837,19,,5941,61,105649,106071,996024
151,Equatorial Guinea,5401,,86,,5197,118,,3781,60,84190,58940,1428395
152,CAR,4974,,63,,4885,26,2,1020,13,35523,7284,4876571
153,Somalia,4744,,130,,3666,948,,294,8,,,16138541
154,Togo,4545,,74,,3927,544,,542,9,198192,23633,8386415
155,Cura?ao,4543,,20,,4416,107,3,27622,122,42333,257390,164470
156,Niger,4308,,150,,3403,755,3,174,6,70563,2858,24688508
157,Gambia,3958,,128,,3703,127,1,1613,52,32962,13431,2454225
158,Gibraltar,3905,,59,,3097,749,103,115927,1752,148195,4399436,33685
159,South Sudan,3788,,64,,3542,182,2,336,6,83534,7414,11267151
160,Benin,3643,,48,,3317,278,,296,4,408081,33180,12299096
161,Channel Islands,3414,,78,,3148,188,10,19535,446,301532,1725396,174761
162,Chad,3104,,115,,2222,767,,186,7,,,16686487
163,Sierra Leone,3093,,77,,2166,850,,383,10,,,8067214
164,San Marino,2874,13,65,,2615,194,11,84602,1913,32314,951223,33971
165,Guinea-Bissau,2510,,45,,2405,60,5,1259,23,39578,19850,1993813
166,Liechtenstein,2437,5,52,,2322,63,6,63813,1362,23431,613538,38190
167,New Zealand,2276,,25,,2178,73,,455,5,1480691,296014,5002100
168,Comoros,2160,,63,,1298,799,,2455,72,,,879898
169,Yemen,2118,,614,,1423,81,23,70,20,17404,576,30190918
170,Eritrea,1940,,6,,1304,630,,543,2,23693,6630,3573844
171,Liberia,1912,,84,,1714,114,2,373,16,62180,12136,5123656
172,Sint Maarten,1724,,27,,1564,133,1,39956,626,13533,313641,43148
173,Mongolia,1611,19,2,,1125,484,9,487,0.6,937735,283497,3307741
174,Vietnam,1548,,35,,1411,102,,16,0.4,1431631,14634,97829462
175,Burundi,1380,,2,,773,605,,114,0.2,90019,7448,12086450
176,Monaco,1311,,9,,1078,224,8,33276,228,51953,1318671,39398
177,Turks and Caicos,1244,52,7,,960,277,8,31889,179,13061,334812,39010
178,Barbados,1243,87,9,,593,641,1,4322,31,96327,334965,287573
179,Sao Tome and Principe,1182,,17,,996,169,,5338,77,7498,33862,221426
180,Saint Martin,1146,,12,,1006,128,7,29359,307,12433,318517,39034
181,Seychelles,972,,3,,681,288,,9849,30,5200,52691,98689
182,Taiwan,884,3,7,,783,94,,37,0.3,143747,6029,23841044
183,Bhutan,854,3,1,,702,151,,1100,1,415427,535093,776364
184,Papua New Guinea,835,,9,,790,36,,92,1,40697,4501,9041386
185,Saint Lucia,770,15,10,,412,348,1,4183,54,22832,124020,184099
186,St. Vincent Grenadines,720,30,2,,134,584,2,6478,18,24866,223740,111138
